id,term,def
,ADVENT,"The prototypical computer adventure game, first designed by Will Crowther on the [[bu;#fff;;jargon]PDP-10] in the mid-1970s as an attempt at computer-refereed fantasy gaming, and expanded into a puzzle-oriented game by Don Woods at Stanford in 1976. (Woods had been one of the authors of [[bu;#fff;;jargon]INTERCAL].) Now better known as Adventure or Colossal Cave Adventure, but the [[bu;#fff;;jargon]TOPS-10] operating system permitted only six-letter filenames in uppercase. See also [[bu;#fff;;jargon]vadding], [[bu;#fff;;jargon]Zork], and [[bu;#fff;;jargon]Infocom].This game defined the terse, dryly humorous style since expected in text adventure games, and popularized several tag lines that have become fixtures of hacker-speak: [[i;;]A huge green fierce snake bars the way!] [[i;;]I see no X here] (for some noun X). [[i;;]You are in a maze of twisty little passages, all alike.] [[i;;]You are in a little maze of twisty passages, all different.] The ‘magic words’ [[bu;#fff;;jargon]xyzzy] and [[bu;#fff;;jargon]plugh] also derive from this game.Crowther, by the way, participated in the exploration of the Mammoth & Flint Ridge cave system; it actually [[b;#fff;]has] a Colossal Cave and a Bedquilt as in the game, and the Y2 that also turns up is cavers' jargon for a map reference to a secondary entrance.ADVENT sources are available for FTP at ftp://ftp.wustl.edu/doc/misc/if-archive/games/source/advent.tar.Z. You can also play it as a Java applet. There is a good page of resources at the Colossal Cave Adventure Page."
,adware,"Software which is free to download and use but includes pop-up banner ads somewhere. See also [[bu;#fff;;jargon]-ware]."
,AFAIK,"[Usenet; common] Abbrev. for [[i;;]As Far As I Know]. There is a variant AFAICT [[i;;]As Far As I Can Tell]; where AFAIK suggests that the writer knows his knowledge is limited, AFAICT suggests that he feels his knowledge is as complete as anybody else's but that the best available knowledge does not support firm conclusions."
,AFJ,"Written-only abbreviation for [[i;;]April Fool's Joke]. Elaborate April Fool's hoaxes are a long-established tradition on Usenet and Internet; see [[bu;#fff;;jargon]kremvax] for an example. In fact, April Fool's Day is the [[b;#fff;]only] seasonal holiday consistently marked by customary observances on Internet and other hacker networks."
,AFK,"[MUD] Abbrev. for [[i;;]Away From Keyboard]. Used to notify others that you will be momentarily unavailable online. eg. [[i;;]Let's not go kill that frost giant yet, I need to go AFK to make a phone call]. Often MUDs will have a command to politely inform others of your absence when they try to talk with you. The term is not restricted to MUDs, however, and has become common in many chat situations, from IRC to Unix talk."
,AI,"Abbreviation for ‘Artificial Intelligence’, so common that the full form is almost never written or spoken among hackers."
,AI-complete,"[MIT, Stanford: by analogy with [[b;#fff;]NP-complete] (see [[bu;#fff;;jargon]NP-])] Used to describe problems or subproblems in AI, to indicate that the solution presupposes a solution to the ‘strong AI problem’ (that is, the synthesis of a human-level intelligence). A problem that is AI-complete is, in other words, just too hard.Examples of AI-complete problems are ‘The Vision Problem’ (building a system that can see as well as a human) and ‘The Natural Language Problem’ (building a system that can understand and speak a natural language as well as a human). These may appear to be modular, but all attempts so far (2003) to solve them have foundered on the amount of context information and ‘intelligence’ they seem to require. See also [[bu;#fff;;jargon]gedanken]."
,"airplane rule","[[i;;]Complexity increases the possibility of failure; a twin-engine airplane has twice as many engine problems as a single-engine airplane.] By analogy, in both software and electronics, the rule that simplicity increases robustness. It is correspondingly argued that the right way to build reliable systems is to put all your eggs in one basket, after making sure that you've built a really [[b;#fff;]good] basket. See also [[bu;#fff;;jargon]KISS Principle], [[bu;#fff;;jargon]elegant]."
,"Alderson loop","[Intel] A special version of an [[bu;#fff;;jargon]infinite loop] where there is an exit condition available, but inaccessible in the current implementation of the code. Typically this is created while debugging user interface code. An example would be when there is a menu stating, [[i;;]Select 1-3 or 9 to quit] and 9 is not allowed by the function that takes the selection from the user.This term received its name from a programmer who had coded a modal message box in MSAccess with no Ok or Cancel buttons, thereby disabling the entire program whenever the box came up. The message box had the proper code for dismissal and even was set up so that when the non-existent Ok button was pressed the proper code would be called."
,"aliasing bug","A class of subtle programming errors that can arise in code that does dynamic allocation, esp. via malloc3 or equivalent. If several pointers address (are [[b;#fff;]aliases for]) a given hunk of storage, it may happen that the storage is freed or reallocated (and thus moved) through one alias and then referenced through another, which may lead to subtle (and possibly intermittent) lossage depending on the state and the allocation history of the malloc [[bu;#fff;;jargon]arena]. Avoidable by use of allocation strategies that never alias allocated core, or by use of higher-level languages, such as [[bu;#fff;;jargon]LISP], which employ a garbage collector (see [[bu;#fff;;jargon]GC]). Also called a [[bu;#fff;;jargon]stale pointer bug]. See also [[bu;#fff;;jargon]precedence lossage], [[bu;#fff;;jargon]smash the stack], [[bu;#fff;;jargon]fandango on core], [[bu;#fff;;jargon]memory leak], [[bu;#fff;;jargon]memory smash], [[bu;#fff;;jargon]overrun screw], [[bu;#fff;;jargon]spam].Historical note: Though this term is nowadays associated with C programming, it was already in use in a very similar sense in the Algol-60 and FORTRAN communities in the 1960s."
,"Alice and Bob","The archetypal individuals used as examples in discussions of cryptographic protocols. Originally, theorists would say something like: [[i;;]A communicates with someone who claims to be B, So to be sure, A tests that B knows a secret number K. So A sends to B a random number X. B then forms Y by encrypting X under key K and sends Y back to A] Because this sort of thing is quite hard to follow, theorists stopped using the unadorned letters A and B to represent the main players and started calling them Alice and Bob. So now we say [[i;;]Alice communicates with someone claiming to be Bob, and to be sure, Alice tests that Bob knows a secret number K. Alice sends to Bob a random number X. Bob then forms Y by encrypting X under key K and sends Y back to Alice]. A whole mythology rapidly grew up around the metasyntactic names; see http://www.conceptlabs.co.uk/alicebob.html.In Bruce Schneier's definitive introductory text Applied Cryptography (2nd ed., 1996, John Wiley & Sons, ISBN 0-471-11709-9) he introduced a table of dramatis personae headed by Alice and Bob. Others include Carol (a participant in three- and four-party protocols), Dave (a participant in four-party protocols), Eve (an eavesdropper), Mallory (a malicious active attacker), Trent (a trusted arbitrator), Walter (a warden), Peggy (a prover) and Victor (a verifier). These names for roles are either already standard or, given the wide popularity of the book, may be expected to quickly become so."
,"All hardware sucks, all software sucks.","[from [[bu;#fff;;jargon]scary devil monastery]] A general recognition of the fallibility of any computer system, ritually intoned as an attempt to quell incipient [[bu;#fff;;jargon]holy wars]. It is a common response to any sort of [[bu;#fff;;jargon]bigot]. When discussing [[bu;#fff;;jargon]Wintel] systems, however, it is often snidely appended with, ‘but some suck more than others.’"
,"all your base are belong to us","A declaration of victory or superiority. The phrase stems from a 1991 adaptation of Toaplan's [[i;;]Zero Wing] shoot-'em-up arcade game for the Sega Genesis game console. A brief introduction was added to the opening screen, and it has what many consider to be the worst Japanese-to-English translation in video game history. The introduction shows the bridge of a starship in chaos as a Borg-like figure named CATS materializes and says, [[i;;]How are you gentlemen!! All your base are belong to us.] [sic] In 2001, this amusing mistranslation spread virally through the Internet, bringing with it a slew of JPEGs and a movie of hacked photographs, each showing a street sign, store front, package label, etc. hacked to read [[i;;]All your base are belong to us] or one of the other many supremely dopey lines from the game (such as [[i;;]Somebody set up usthe bomb!!!] or [[i;;]What happen?]). When these phrases are used properly, the overall effect is both screamingly funny and somewhat chilling, reminiscent of the B movie [[i;;]They Live].The original has been generalized to [[i;;]All your X are belong to us], where X is filled in to connote a sinister takeover of some sort. Thus, [[i;;]When Joe signed up for his new job at Yoyodyne, he had to sign a draconian NDA. It basically said: All your code are belong to us.] Has many of the connotations of [[i;;]Resistance is futile; you will be assimilated] (see [[bu;#fff;;jargon]Borg]). Considered silly, and most likely to be used by the type of person that finds [[bu;#fff;;jargon]Jeff K.] hilarious."
,"alpha geek","[from animal ethologists' [[b;#fff;]alpha male]] The most technically accomplished or skillful person in some implied context. [[i;;]Ask Larry, he's the alpha geek here.]"
,"alpha particles","See [[bu;#fff;;jargon]bit rot]."
,alt,"1. [[b;#fff;]n.] The alt shift key on an IBM PC or [[bu;#fff;;jargon]clone] keyboard; see [[bu;#fff;;jargon]bucky bits], sense 2 (though typical PC usage does not simply set the 0200 bit). 2. [[b;#fff;]n.] The option key on a Macintosh; use of this term usually reveals that the speaker hacked PCs before coming to the Mac (see also [[bu;#fff;;jargon]feature key], which is sometimes [[b;#fff;]incorrectly] called ‘alt’). 3. The alt hierarchy on Usenet, the tree of newsgroups created by users without a formal vote and approval procedure. There is a myth, not entirely implausible, that alt is acronymic for [[i;;]anarchists, lunatics, and terrorists]; but in fact it is simply short for [[i;;]alternative]. 4. [[b;#fff;]n.,obs]. Rare alternate name for the ASCII ESC character (ASCII 0011011). This use, derives, with the alt key itself, from archaic PDP-10 operating systems, especially [[bu;#fff;;jargon]ITS]."
,"alt bit","See [[bu;#fff;;jargon]meta bit]."
,"Aluminum Book","[MIT] Common LISP: The Language, by Guy L. Steele Jr. (Digital Press, first edition 1984, second edition 1990). Note that due to a technical screwup some printings of the second edition are actually of a color the author describes succinctly as [[i;;]yucky green]. See also [[bu;#fff;;jargon]book titles]."
,ambimouseterous,"[modeled on [[b;#fff;]ambidextrous]] Able to use a mouse with either hand."
,Amiga,"A series of personal computer models originally sold by Commodore, based on 680x0 processors, custom support chips and an operating system that combined some of the best features of Macintosh and Unix with compatibility with neither.The Amiga was released just as the personal computing world standardized on IBM-PC clones. This prevented it from gaining serious market share, despite the fact that the first Amigas had a substantial technological lead on the IBM XTs of the time. Instead, it acquired a small but zealous population of enthusiastic hackers who dreamt of one day unseating the clones (see [[bu;#fff;;jargon]Amiga Persecution Complex]). The traits of this culture are both spoofed and illuminated in The BLAZE Humor Viewer. The strength of the Amiga platform seeded a small industry of companies building software and hardware for the platform, especially in graphics and video applications (see [[bu;#fff;;jargon]video toaster]). Due to spectacular mismanagement, Commodore did hardly any R&D, allowing the competition to close Amiga's technological lead. After Commodore went bankrupt in 1994 the technology passed through several hands, none of whom did much with it. However, the Amiga is still being produced in Europe under license and has a substantial number of fans, which will probably extend the platform's life considerably."
,"Amiga Persecution Complex","The disorder suffered by a particularly egregious variety of [[bu;#fff;;jargon]bigot], those who believe that the marginality of their preferred machine is the result of some kind of industry-wide conspiracy (for without a conspiracy of some kind, the eminent superiority of their beloved shining jewel of a platform would obviously win over all, market pressures be damned!) Those afflicted are prone to engaging in [[bu;#fff;;jargon]flame war]s and calling for boycotts and mailbombings. Amiga Persecution Complex is by no means limited to Amiga users; NeXT, [[bu;#fff;;jargon]NeWS], [[bu;#fff;;jargon]OS/2], Macintosh, [[bu;#fff;;jargon]LISP], and [[bu;#fff;;jargon]GNU] users are also common victims. [[bu;#fff;;jargon]Linux] users used to display symptoms very frequently before Linux started winning; some still do. See also [[bu;#fff;;jargon]newbie], [[bu;#fff;;jargon]troll], [[bu;#fff;;jargon]holy wars], [[bu;#fff;;jargon]weenie], [[bu;#fff;;jargon]Get a life!]."
,"amp off","[Purdue] To run in [[bu;#fff;;jargon]background]. From the Unix shell ‘&’ operator."
,amper,"Common abbreviation for the name of the ampersand (‘&’, ASCII 0100110) character. See [[bu;#fff;;jargon]ASCII] for other synonyms."
,"and there was much rejoicing","[from the movie Monty Python and the Holy
Grail.]Acknowledgement of a notable accomplishment. Something long-awaited,
widely desired, possibly unexpected but secretly wished-for, with a suggestion
that something about the problem (and perhaps the steps necessary to make it
go away) was deeply disturbing to hacker sensibilities.In person, the phrase is almost invariably pronounced with the same
portentious intonation as the movie. The customary in-person (approving)
response is a weak and halfhearted [[i;;]Yaaaay...],
with one index finger raised like a flag and moved in a small circle. The reason for this, like most of the Monty Python oeuvre, cannot easily be explained outside its original context.Example: ""changelog entry #436: with the foo driver brain damage taken
care of, finally obsoleted BROKEN_EVIL_KLUDGE. Removed from source tree.
(And there was much rejoicing)."""
,Angband,"Like [[bu;#fff;;jargon]nethack], [[bu;#fff;;jargon]moria], and [[bu;#fff;;jargon]rogue], one of the large freely distributed Dungeons-and-Dragons-like simulation games, available for a wide range of machines and operating systems. The name is from Tolkien's Pits of Angband (compare [[bu;#fff;;jargon]elder days], [[bu;#fff;;jargon]elvish]). Has been described as [[i;;]Moria on steroids]; but, unlike Moria, many aspects of the game are customizable. This leads many hackers and would-be hackers into fooling with these instead of doing productive work. There are many Angband variants, of which the most notorious is probably the rather whimsical Zangband. In this game, when a key that does not correspond to a command is pressed, the game will display [[i;;]Type ? for help] 50% of the time. The other 50% of the time, random error messages including [[i;;]An error has occurred because an error of type 42 has occurred] and [[i;;]Windows 95 uninstalled successfully] will be displayed. Zangband also allows the player to kill Santa Claus (who has some really good stuff, but also has a lot of friends), [[i;;]Bull Gates], and Barney the Dinosaur (but be watchful; Barney has a nasty case of halitosis). There is an official angband home page at http://thangorodrim.angband.org/ and a zangband one at http://www.zangband.org/. See also [[bu;#fff;;jargon]Random Number God]."
,"angle brackets","Either of the characters < (ASCII 0111100) and > (ASCII 0111110) (ASCII less-than or greater-than signs). Typographers in the [[bu;#fff;;jargon]Real World] use angle brackets which are either taller and slimmer (the ISO lang ⟨ and rang ⟩ characters), or significantly smaller (single or double guillemets) than the less-than and greater-than signs. See [[bu;#fff;;jargon]broket], [[bu;#fff;;jargon]ASCII]."
,"angry fruit salad","A bad visual-interface design that uses too many colors. (This term derives, of course, from the bizarre day-glo colors found in canned fruit salad.) Too often one sees similar effects from interface designers using color window systems such as [[bu;#fff;;jargon]X]; there is a tendency to create displays that are flashy and attention-getting but uncomfortable for long-term use."
,annoybot,"[IRC] See [[bu;#fff;;jargon]bot]."
,annoyware,"A type of [[bu;#fff;;jargon]shareware] that frequently disrupts normal program operation to display requests for payment to the author in return for the ability to disable the request messages. (Also called [[b;#fff;]nagware]) The requests generally require user action to acknowledge the message before normal operation is resumed and are often tied to the most frequently used features of the software. See also [[bu;#fff;;jargon]careware], [[bu;#fff;;jargon]charityware], [[bu;#fff;;jargon]crippleware], [[bu;#fff;;jargon]freeware], [[bu;#fff;;jargon]FRS], [[bu;#fff;;jargon]guiltware], [[bu;#fff;;jargon]postcardware], and [[bu;#fff;;jargon]-ware]; compare [[bu;#fff;;jargon]payware]."
,"ANSI standard","The ANSI standard usage of [[b;#fff;]ANSI standard] refers to any practice which is typical or broadly done. It's most appropriately applied to things that everyone does that are not quite regulation. For example: ANSI standard shaking of a laser printer cartridge to get extra life from it, or the ANSI standard word tripling in names of usenet alt groups.This usage derives from the American National Standards Institute. ANSI, along with the International Organization for Standards (ISO), standardized the C programming language (see [[bu;#fff;;jargon]K&R], [[bu;#fff;;jargon]Classic C]), and promulgates many other important software standards."
,"ANSI standard pizza","[CMU] Pepperoni and mushroom pizza. Coined allegedly because most pizzas ordered by CMU hackers during some period leading up to mid-1990 were of that flavor. See also [[bu;#fff;;jargon]rotary debugger]; compare [[bu;#fff;;jargon]ISO standard cup of tea]."
,anti-idiotarianism,"[very common] Opposition to idiots of all political stripes. First coined in the [[bu;#fff;;jargon]blog] named Little Green Footballs as part of a post expressing disgust with inane responses to post-9/11 Islamic terrorism. Anti-idiotarian wrath has focused on Islamic terrorists and their sympathizers in the Western political left, but also routinely excoriated right-wing politicians backing repressive ’anti-terror‘ legislation and Christian religious figures who (in the blogosphere's view of the matter) have descended nearly to the level of jihad themselves."
,AOL!,"[Usenet] Common synonym for [[i;;]Me, too!] alluding to the legendary propensity of America Online users to utter contentless [[i;;]Me, too!] postings. The number of exclamation points following varies from zero to five or so. The pseudo-HTMLis also frequently seen. See also [[bu;#fff;;jargon]September that never ended]."
,app,"Short for ‘application program’, as opposed to a systems program. Apps are what systems vendors are forever chasing developers to create for their environments so they can sell more boxes. Hackers tend not to think of the things they themselves run as apps; thus, in hacker parlance the term excludes compilers, program editors, games, and messaging systems, though a user would consider all those to be apps. (Broadly, an app is often a self-contained environment for performing some well-defined task such as ‘word processing’; hackers tend to prefer more general-purpose tools.) See [[bu;#fff;;jargon]killer app]; oppose [[bu;#fff;;jargon]tool], [[bu;#fff;;jargon]operating system]."
,Archimedes,"The world's first RISC microcomputer, available only in the British Commonwealth and europe. Built in 1987 in Great Britain by Acorn Computers, it was legendary for its use of the ARM-2 microprocessor as a CPU. Many a novice hacker in the Commonwealth first learnt his or her skills on the Archimedes, since it was specifically designed for use in schools and educational institutions. Owners of Archimedes machines are often still treated with awe and reverence. Familiarly, [[i;;]archi]."
,arena,"[common; Unix] The area of memory attached to a process by brk2 and sbrk2 and used by malloc3 as dynamic storage. So named from a malloc: corrupt arena message emitted when some early versions detected an impossible value in the free block list. See [[bu;#fff;;jargon]overrun screw], [[bu;#fff;;jargon]aliasing bug], [[bu;#fff;;jargon]memory leak], [[bu;#fff;;jargon]memory smash], [[bu;#fff;;jargon]smash the stack]."
,arg,"Abbreviation for ‘argument’ (to a function), used so often as to have become a new word (like ‘piano’ from ‘pianoforte’). [[i;;]The sine function takes 1 arg, but the arc-tangent function can take either 1 or 2 args.] Compare [[bu;#fff;;jargon]param], [[bu;#fff;;jargon]parm], [[bu;#fff;;jargon]var]."
,ARMM,"[acronym, ‘Automated Retroactive Minimal Moderation’] A Usenet [[bu;#fff;;jargon]cancelbot] created by Dick Depew of Munroe Falls, Ohio. ARMM was intended to automatically cancel posts from anonymous-posting sites. Unfortunately, the robot's recognizer for anonymous postings triggered on its own automatically-generated control messages! Transformed by this stroke of programming ineptitude into a monster of Frankensteinian proportions, it broke loose on the night of March 30, 1993 and proceeded to [[bu;#fff;;jargon]spam] news.admin.policy with a recursive explosion of over 200 messages.ARMM's bug produced a recursive [[bu;#fff;;jargon]cascade] of messages each of which mechanically added text to the ID and Subject and some other headers of its parent. This produced a flood of messages in which each header took up several screens and each message ID and subject line got longer and longer and longer.Reactions varied from amusement to outrage. The pathological messages crashed at least one mail system, and upset people paying line charges for their Usenet feeds. One poster described the ARMM debacle as [[i;;]instant Usenet history] (also establishing the term [[bu;#fff;;jargon]despew]), and it has since been widely cited as a cautionary example of the havoc the combination of good intentions and incompetence can wreak on a network. The Usenet thread on the subject is archived here. Compare [[bu;#fff;;jargon]Great Worm]; [[bu;#fff;;jargon]sorcerer's apprentice mode]. See also [[bu;#fff;;jargon]software laser], [[bu;#fff;;jargon]network meltdown]."
,armor-plated,"Syn. for [[bu;#fff;;jargon]bulletproof]."
,asbestos,"[common] Used as a modifier to anything intended to protect one from [[bu;#fff;;jargon]flame]s; also in other highly [[bu;#fff;;jargon]flame]-suggestive usages. See, for example, [[bu;#fff;;jargon]asbestos longjohns] and [[bu;#fff;;jargon]asbestos cork award]."
,"asbestos cork award","Once, long ago at MIT, there was a [[bu;#fff;;jargon]flamer] so consistently obnoxious that another hacker designed, had made, and distributed posters announcing that said flamer had been nominated for the [[b;#fff;]asbestos cork award]. (Any reader in doubt as to the intended application of the cork should consult the etymology under [[bu;#fff;;jargon]flame].) Since then, it is agreed that only a select few have risen to the heights of bombast required to earn this dubious dignity — but there is no agreement on [[b;#fff;]which] few."
,"asbestos longjohns","Notional garments donned by [[bu;#fff;;jargon]Usenet] posters just before emitting a remark they expect will elicit [[bu;#fff;;jargon]flamage]. This is the most common of the [[bu;#fff;;jargon]asbestos] coinages. Also [[b;#fff;]asbestos underwear], [[b;#fff;]asbestos overcoat], etc."
